@relation 'MLC'

@attribute F1_MINIMUM_GYR_X numeric
@attribute F2_MAXIMUM_GYR_X numeric
@attribute F3_VARIANCE_GYR_X numeric
@attribute F4_PEAK_TO_PEAK_GYR_X numeric
@attribute F5_ABS_MEAN_GYR_V numeric
@attribute F6_ENERGY_GYR_X numeric
@attribute F7_MAXIMUM_ACC_Y numeric
@attribute F8_MAXIMUM_ACC_X numeric
@attribute F9_MAXIMUM_ACC_Z numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_MEAN_ACC_Y numeric
@attribute F12_ABS_MINIMUM_ACC_V numeric
@attribute F13_ENERGY_ACC_Y numeric
@attribute F14_MINIMUM_ACC_Y numeric
@attribute F15_ENERGY_ACC_X numeric
@attribute class {Static, Screwdriving-Correct, Screwdriving-Incorrect, Snipping-Correct, Snipping-Incorrect}

@data
-0.0170898, 0.0164795, 4.42266e-05, 0.0335693, 0.00617599, 0.00358772, -0.479248, -0.362305, 0.793457, 0.785645, -0.486084, 0.994629, 19.0469, -0.490234, 10.7813, Static
-0.012207, 0.00610352, 2.03252e-05, 0.0183105, 0.00511932, 0.00186348, -0.480225, -0.362305, 0.79248, 0.785645, -0.486816, 0.994629, 19.1094, -0.491211, 10.7578, Static
-0.0164795, 0.00793457, 3.1352e-05, 0.0244141, 0.00630188, 0.00266647, -0.478271, -0.360352, 0.793457, 0.786621, -0.484619, 0.994629, 19.0781, -0.493408, 10.75, Static
-0.0134277, 0.00793457, 1.78218e-05, 0.0213623, 0.00567245, 0.00173473, -0.479248, -0.359131, 0.793457, 0.786621, -0.485107, 0.994629, 19.0313, -0.489258, 10.7422, Static
-0.010376, 0.00976563, 1.32918e-05, 0.0201416, 0.00494766, 0.0012064, -0.479248, -0.360352, 0.79541, 0.786621, -0.485352, 0.994141, 19.0469, -0.489258, 10.7344, Static
-0.00793457, 0.00549316, 7.39098e-06, 0.0134277, 0.00380325, 0.000601292, -0.477295, -0.360352, 0.794434, 0.787109, -0.481934, 0.994629, 18.9375, -0.487305, 10.7109, Static
-0.0115967, 0.00732422, 1.49608e-05, 0.0189209, 0.00516129, 0.00129032, -0.474365, -0.360352, 0.800293, 0.790527, -0.47998, 0.990234, 18.7656, -0.486328, 10.7188, Static
-0.0115967, 0.0134277, 3.21865e-05, 0.0250244, 0.00578308, 0.00273514, -0.470215, -0.357178, 0.79834, 0.793945, -0.475342, 0.994629, 18.4531, -0.490234, 10.7266, Static
-0.00976563, 0.010376, 2.01464e-05, 0.0201416, 0.00555038, 0.00163651, -0.468262, -0.361328, 0.799316, 0.801758, -0.470703, 0.994141, 18.2188, -0.480225, 10.75, Static
-0.00915527, 0.00732422, 1.19805e-05, 0.0164795, 0.00564575, 0.00102234, -0.470215, -0.360352, 0.799316, 0.80127, -0.472168, 0.994629, 18.2813, -0.478271, 10.7109, Static
-0.012207, 0.0128174, 2.19345e-05, 0.0250244, 0.00450516, 0.00181961, -0.465332, -0.358154, 0.802734, 0.805176, -0.470459, 0.994629, 18.0781, -0.479248, 10.625, Static
-0.00793457, 0.00671387, 9.89437e-06, 0.0146484, 0.0036869, 0.000803471, -0.467285, -0.359131, 0.803711, 0.805176, -0.469482, 0.994629, 17.8594, -0.475342, 10.5859, Static
-0.0518799, 0.0518799, 0.000180364, 0.10376, 0.00952911, 0.0146255, -0.42627, -0.346191, 0.820313, 0.803223, -0.467529, 0.983398, 17.7031, -0.503418, 10.5781, Static
-0.0323486, 0.0262451, 0.000152588, 0.0585938, 0.0112762, 0.0125961, -0.445313, -0.348145, 0.8125, 0.807129, -0.466064, 0.990234, 17.6563, -0.484375, 10.5547, Static
-0.0408936, 0.0219727, 0.000103772, 0.0628662, 0.00753403, 0.00886536, -0.445313, -0.357178, 0.81543, 0.807129, -0.467285, 0.990723, 17.6406, -0.492432, 10.6094, Static
-0.0128174, 0.00915527, 1.57952e-05, 0.0219727, 0.00427246, 0.0013485, -0.460205, -0.357178, 0.806641, 0.807129, -0.467529, 0.994629, 17.6563, -0.474365, 10.5781, Static
-0.00976563, 0.00854492, 1.33514e-05, 0.0183105, 0.00369835, 0.00116062, -0.457275, -0.357178, 0.805664, 0.806641, -0.467529, 0.995117, 17.6563, -0.474365, 10.5859, Static
-0.00976563, 0.00671387, 1.34706e-05, 0.0164795, 0.00406265, 0.00116444, -0.460205, -0.356201, 0.806641, 0.808594, -0.466797, 0.995117, 17.5625, -0.470215, 10.5391, Static
-0.00732422, 0.00549316, 1.01924e-05, 0.0128174, 0.00342178, 0.000862122, -0.460205, -0.358154, 0.806641, 0.808594, -0.466797, 0.995117, 17.5156, -0.470215, 10.5391, Static
-0.010376, 0.00488281, 1.06096e-05, 0.0152588, 0.00384331, 0.000923157, -0.459229, -0.357178, 0.806641, 0.808594, -0.466553, 0.995117, 17.5, -0.470215, 10.5234, Static
-0.00915527, 0.00732422, 1.17421e-05, 0.0164795, 0.00372887, 0.000951767, -0.458252, -0.358154, 0.807617, 0.80957, -0.466553, 0.994629, 17.4063, -0.469238, 10.5078, Static
-0.00793457, 0.00366211, 8.58307e-06, 0.0115967, 0.00417328, 0.00097084, -0.458252, -0.356201, 0.808594, 0.810547, -0.465332, 0.995605, 17.3594, -0.468262, 10.4766, Static
-0.00671387, 0.00671387, 6.3777e-06, 0.0134277, 0.00278282, 0.000519276, -0.458252, -0.356201, 0.808594, 0.810547, -0.464111, 0.995117, 17.25, -0.467285, 10.4141, Static
-0.00732422, 0.00366211, 7.03335e-06, 0.0109863, 0.00339699, 0.000759602, -0.456299, -0.356201, 0.808594, 0.811035, -0.463135, 0.995605, 17.1719, -0.466309, 10.4688, Static
-0.00793457, 0.00732422, 1.10865e-05, 0.0152588, 0.00378036, 0.000897884, -0.454346, -0.355225, 0.80957, 0.811035, -0.459961, 0.995605, 17.125, -0.465332, 10.3984, Static
-0.00549316, 0.0128174, 1.09076e-05, 0.0183105, 0.00322533, 0.000890255, -0.451172, -0.356201, 0.811523, 0.811035, -0.45752, 0.995605, 17.0156, -0.462402, 10.4297, Static
-0.00671387, 0.00732422, 6.61612e-06, 0.0140381, 0.00314713, 0.000554085, -0.452393, -0.355225, 0.8125, 0.812012, -0.456055, 0.995117, 16.875, -0.459229, 10.3281, Static
-0.00610352, 0.00854492, 1.40071e-05, 0.0146484, 0.00421524, 0.00122452, -0.448242, -0.354248, 0.814453, 0.812012, -0.454102, 0.994629, 16.7813, -0.459229, 10.3125, Static
-0.012207, 0.00610352, 1.52588e-05, 0.0183105, 0.00496674, 0.00142288, -0.444336, -0.355225, 0.816406, 0.8125, -0.451904, 0.994629, 16.5469, -0.457275, 10.3594, Static
-0.0360107, 0.0238037, 0.000141263, 0.0598145, 0.0124588, 0.0115585, -0.287109, 0.0510254, 0.960449, 0.950684, -0.299072, 0.992188, 7.27734, -0.318115, 0.138184, Static
-0.0360107, 0.0146484, 0.000110805, 0.0506592, 0.00991821, 0.00981903, -0.290283, 0.0480347, 0.958496, 0.952148, -0.299072, 0.995117, 7.25391, -0.312256, 0.145874, Static
-0.0280762, 0.0250244, 0.000113368, 0.0531006, 0.0104828, 0.00944519, -0.280273, 0.0450439, 0.966797, 0.946777, -0.304443, 0.982422, 7.53516, -0.327148, 0.140869, Static
-0.0158691, 0.0213623, 6.36578e-05, 0.0372314, 0.00750732, 0.00542068, -0.286133, 0.0460205, 0.95752, 0.949219, -0.301514, 0.994141, 7.44141, -0.314209, 0.159302, Static
-0.0445557, 0.0439453, 0.000283718, 0.088501, 0.0157623, 0.022995, -0.359131, -0.187134, 0.915527, 0.898926, -0.376953, 0.982422, 11.5078, -0.415283, 3.31055, Static
-0.0183105, 0.0463867, 0.000154972, 0.0646973, 0.0123978, 0.0126343, -0.352295, -0.190186, 0.91748, 0.900391, -0.374756, 0.990234, 11.3828, -0.388184, 3.27734, Static
-0.0152588, 0.0140381, 3.54052e-05, 0.0292969, 0.0056076, 0.00287437, -0.362305, -0.19812, 0.908691, 0.902344, -0.371826, 0.993652, 11.1875, -0.390137, 3.32617, Static
-0.032959, 0.0463867, 0.00020957, 0.0793457, 0.0142975, 0.0169983, -0.345215, -0.189087, 0.915527, 0.901367, -0.37085, 0.993652, 11.1406, -0.39624, 3.30273, Static
-0.0170898, 0.00976563, 2.10404e-05, 0.0268555, 0.00416183, 0.00188351, -0.360352, -0.199097, 0.908691, 0.902344, -0.368896, 0.996582, 10.9766, -0.378174, 3.30859, Static
-0.0115967, 0.00671387, 1.46031e-05, 0.0183105, 0.00355721, 0.00129223, -0.363281, -0.19812, 0.907715, 0.902344, -0.369873, 0.996582, 11.0234, -0.374268, 3.29688, Static
-0.0134277, 0.00732422, 1.35899e-05, 0.020752, 0.0043602, 0.00122929, -0.363281, -0.19812, 0.907715, 0.902344, -0.370605, 0.995605, 11.0547, -0.378174, 3.29688, Static
-0.00976563, 0.00488281, 8.64267e-06, 0.0146484, 0.00341606, 0.000939369, -0.365234, -0.199097, 0.906738, 0.902344, -0.371094, 0.995605, 11.1094, -0.373291, 3.2832, Static
-0.0238037, 0.0109863, 7.27773e-05, 0.03479, 0.00914764, 0.00648117, -0.979492, -0.0600586, 0.0630493, 0.0574951, -0.993652, 0.983398, 79.3125, -0.996582, 0.324951, Static
-0.0128174, 0.0152588, 2.97427e-05, 0.0280762, 0.00717545, 0.00240898, -0.982422, -0.0540161, 0.0630493, 0.0578918, -0.994629, 0.98584, 79.375, -0.993652, 0.280762, Static
-0.0158691, 0.0128174, 3.54052e-05, 0.0286865, 0.00629044, 0.00300598, -0.981445, -0.052002, 0.0650635, 0.0592651, -0.993652, 0.984863, 79.375, -0.993652, 0.246338, Static
-0.00915527, 0.0115967, 2.99215e-05, 0.020752, 0.00622177, 0.00242424, -0.981445, -0.0530396, 0.0640259, 0.0597534, -0.994629, 0.984863, 79.1875, -0.993652, 0.238892, Static
-0.0146484, 0.00671387, 2.3067e-05, 0.0213623, 0.00571823, 0.00229454, -0.98584, -0.0500488, 0.0650635, 0.0600586, -0.994629, 0.98877, 79.375, -0.993652, 0.228271, Static
-0.0115967, 0.00976563, 1.80602e-05, 0.0213623, 0.00490952, 0.00149632, -0.984375, -0.0500488, 0.0640259, 0.06073, -0.993652, 0.987793, 79.3125, -0.992676, 0.223389, Static
-0.0140381, 0.00671387, 1.48416e-05, 0.020752, 0.0051651, 0.00161648, -0.984375, -0.0480347, 0.0650635, 0.0606689, -0.994629, 0.987793, 79.1875, -0.994629, 0.211792, Static
-0.010376, 0.00732422, 1.22786e-05, 0.0177002, 0.00469971, 0.00099659, -0.980469, -0.0469971, 0.0650635, 0.0613403, -0.992188, 0.983887, 79.4375, -0.994629, 0.19519, Static
-0.00915527, 0.00854492, 1.48416e-05, 0.0177002, 0.00492477, 0.00121975, -0.981445, -0.0450439, 0.0670166, 0.0626221, -0.993652, 0.984863, 79.4375, -0.995605, 0.189453, Static
-0.00610352, 0.00671387, 7.27177e-06, 0.0128174, 0.00391006, 0.000588417, -0.981445, -0.0450439, 0.0690308, 0.0643921, -0.993652, 0.984863, 79.375, -0.995605, 0.186768, Static
-0.0128174, 0.0158691, 2.72989e-05, 0.0286865, 0.00580597, 0.00236702, -0.983398, -0.0460205, 0.0730591, 0.0685425, -0.993652, 0.987305, 79.25, -0.992676, 0.195068, Static
-0.00854492, 0.00854492, 1.3113e-05, 0.0170898, 0.0042305, 0.0010643, -0.982422, -0.0469971, 0.078064, 0.0718384, -0.991699, 0.986328, 79.25, -0.993652, 0.199463, Static
-0.012207, 0.00427246, 9.53674e-06, 0.0164795, 0.00444412, 0.00123978, -0.982422, -0.0469971, 0.0770264, 0.0721436, -0.993652, 0.986816, 79.3125, -0.995605, 0.192871, Static
-0.00488281, 0.00610352, 6.4373e-06, 0.0109863, 0.00340271, 0.000528336, -0.983398, -0.0450439, 0.078064, 0.0721436, -0.993164, 0.987305, 79.25, -0.992676, 0.184204, Static
-0.00549316, 0.0152588, 1.83582e-05, 0.020752, 0.00531006, 0.0016346, -0.983398, -0.0450439, 0.0860596, 0.0751953, -0.993652, 0.987793, 79.1875, -0.995605, 0.187012, Static
-0.00793457, 0.00854492, 1.11461e-05, 0.0164795, 0.00411987, 0.000938416, -0.266113, -0.357178, 0.891602, 0.888184, -0.27124, 0.995605, 6.00781, -0.279297, 10.5078, Static
-0.00915527, 0.00793457, 1.47223e-05, 0.0170898, 0.00451279, 0.00120354, -0.259277, -0.357178, 0.893555, 0.894531, -0.267578, 0.996582, 5.81641, -0.273193, 10.4141, Static
-0.0152588, 0.00732422, 1.41859e-05, 0.022583, 0.00477219, 0.00119209, -0.26123, -0.355225, 0.898438, 0.893066, -0.26709, 0.989746, 5.77344, -0.27417, 10.4063, Static
-0.0146484, 0.00793457, 2.03848e-05, 0.022583, 0.00498581, 0.001688, -0.256104, -0.355225, 0.894531, 0.895996, -0.264893, 0.995605, 5.6875, -0.27417, 10.3516, Static
-0.00915527, 0.00732422, 1.74642e-05, 0.0164795, 0.00424194, 0.00144482, -0.255127, -0.355225, 0.894531, 0.895996, -0.265381, 0.996094, 5.67969, -0.272217, 10.3281, Static
